This file was created by CMPT_EP_CFP_OP_INV_NI_AC_RETS using the 202405 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on E/P.

The portfolios are constructed at the end of June.  E/P is earnings before
extraordinary at the last fiscal year end of the prior calendar year divided
by ME at the end of December of the prior year.

Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Value Weight Returns -- Monthly
,<= 0,Lo 30,Med 40,Hi 30,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,Dec 2,Dec 3,Dec 4,Dec 5,Dec 6,Dec 7,Dec 8,Dec 9,Hi 10
195510,   -3.34,   -2.86,   -1.81,   -3.13,   -3.10,   -2.35,   -1.59,   -3.40,   -1.13,   -3.29,   -2.77,   -2.27,   -2.54,   -2.46,   -0.99,   -1.78,   -3.93,   -0.77,   -1.76
195511,    3.46,    6.62,    6.77,    8.57,    7.66,    4.45,    7.40,    8.29,    7.65,    8.03,    7.01,    4.15,    5.21,    5.71,    8.56,    6.27,    8.95,    6.37,    9.88
195512,    2.99,    2.29,    2.21,    0.67,    2.14,    2.44,    2.25,   -0.14,    4.62,    3.10,    0.46,    2.65,    1.91,    2.42,    2.13,    2.35,   -0.95,    4.21,    5.30
195601,   -2.91,   -3.30,   -1.54,   -4.17,   -4.57,   -0.89,   -0.94,   -3.72,   -4.16,   -4.83,   -4.09,   -0.17,   -2.71,   -0.95,   -0.94,   -2.33,   -4.18,   -3.46,   -5.35
195602,    3.47,    4.13,    4.18,    4.26,    5.13,    2.49,    4.16,    4.49,    3.38,    4.79,    5.73,    1.78,    4.35,    6.05,    2.90,    4.09,    4.63,    3.58,    3.04
195603,    3.05,    6.72,    8.62,    5.59,    6.91,    5.99,    9.48,    6.22,    6.26,    7.60,    5.69,    6.25,    5.31,    6.16,   11.77,    8.94,    5.30,    6.28,    6.23
195604,   -3.55,   -0.32,    1.10,    1.66,   -0.64,    0.30,    0.97,    0.44,    6.27,   -0.93,   -0.11,    0.45,   -0.09,    0.27,    1.42,    2.61,   -0.32,    8.70,    2.07
195605,   -4.28,   -4.67,   -4.58,   -6.30,   -5.40,   -2.79,   -4.65,   -6.28,   -6.28,   -5.57,   -5.11,   -2.88,   -2.56,   -3.25,   -5.55,   -6.17,   -6.31,   -6.03,   -6.72
195606,   -0.55,    4.01,    2.76,    5.53,    4.81,    2.65,    2.38,    4.87,    5.35,    5.83,    2.98,    2.11,    4.05,    3.80,    1.43,    2.81,    5.61,    5.60,    4.90
195607,   -1.25,    4.37,    5.22,    8.62,    4.27,    4.52,    7.26,    5.38,    8.76,    3.97,    5.34,    4.63,    4.41,    7.11,    7.40,    4.17,    8.46,    9.97,    5.30
195608,   -2.10,   -3.61,   -3.06,   -0.36,   -4.11,   -2.91,   -4.95,   -0.88,    0.32,   -4.44,   -2.92,   -2.40,   -3.38,   -4.75,   -5.14,   -0.75,   -1.20,   -0.66,    3.27
195609,   -0.70,   -6.32,   -4.46,   -2.36,   -7.03,   -4.81,   -5.31,   -3.09,   -1.72,   -7.52,   -5.30,   -4.65,   -4.95,   -5.44,   -5.17,   -3.07,   -3.14,   -1.74,   -1.67
195610,   -5.47,    0.70,    0.34,    2.10,    1.32,   -0.13,    1.12,   -0.09,    3.01,    1.51,    0.67,   -0.75,    0.45,   -0.37,    2.55,   -0.52,    0.97,    3.01,    3.03
195611,    0.48,   -0.69,    0.71,    2.71,   -1.24,    1.83,   -0.03,   -0.16,    3.05,   -1.63,    0.13,    0.61,    2.97,    0.87,   -0.87,   -1.16,    2.26,    3.85,    0.77
195612,   -7.35,    3.26,    4.14,    4.56,    3.91,    2.96,    5.95,    3.09,    4.48,    4.00,    3.61,    1.72,    4.09,    3.28,    8.47,    2.42,    4.66,    4.38,    4.78
195701,    9.27,   -3.15,   -3.80,   -6.90,   -4.41,   -1.47,   -3.18,   -5.99,   -7.32,   -5.14,   -1.92,   -0.14,   -2.64,   -1.25,   -4.90,   -5.82,   -6.37,   -8.53,   -3.72
195702,   -8.44,   -0.88,   -1.61,   -4.31,   -1.20,   -0.68,   -1.15,   -3.28,   -4.01,   -1.29,   -0.91,   -0.17,   -1.15,   -2.58,    0.18,   -2.67,   -4.69,   -5.10,   -0.97
195703,   13.43,    2.47,    2.29,    2.15,    2.98,    2.31,    2.44,    1.21,    2.34,    3.00,    2.92,    1.30,    3.24,    3.06,    1.88,    0.91,    1.92,    2.23,    2.63
195704,   -3.20,    4.55,    5.32,    4.03,    5.85,    2.64,    5.59,    6.07,    4.57,    6.35,    4.18,    1.54,    3.62,    4.91,    6.22,    7.24,    3.33,    4.99,    3.45
195705,    4.39,    3.78,    4.69,    1.78,    4.36,    4.68,    4.66,    1.90,    2.27,    4.75,    3.04,    2.39,    6.70,    4.21,    5.06,    2.21,    1.14,    2.59,    1.37
195706,   -0.11,    0.06,   -0.99,    0.38,    0.97,   -1.57,   -1.72,   -0.09,    0.72,    1.76,   -1.74,   -2.16,   -1.07,   -1.86,   -1.58,   -0.11,   -0.06,    1.49,   -1.38
195707,    0.62,    1.41,    0.72,    0.10,    0.76,    1.73,    1.23,    0.27,    0.51,    1.11,   -0.36,    2.18,   -0.34,    0.84,    1.76,    0.63,   -0.54,    0.01,    1.02
195708,   -8.23,   -4.85,   -4.15,   -5.28,   -6.01,   -3.40,   -4.18,   -4.86,   -6.54,   -6.36,   -4.88,   -3.48,   -3.02,   -3.88,   -4.57,   -5.55,   -3.28,   -6.89,   -6.19
195709,   -5.96,   -6.12,   -4.73,   -4.21,   -6.37,   -5.53,   -5.00,   -3.71,   -5.96,   -6.61,   -5.62,   -5.84,   -4.13,   -5.52,   -4.30,   -4.70,   -1.51,   -5.66,   -6.26
195710,  -13.80,   -3.49,   -3.25,   -5.39,   -3.19,   -3.75,   -3.51,   -2.80,   -6.53,   -3.24,   -3.01,   -3.84,   -3.34,   -4.09,   -2.72,   -2.37,   -3.72,   -7.18,   -5.87
195711,    9.46,    2.77,    2.77,    1.63,    5.64,    0.24,    2.76,    2.28,    0.06,    5.97,    4.56,   -0.52,    3.68,    2.56,    3.03,    1.54,    3.87,    1.33,   -1.21
195712,   -2.18,   -3.05,   -3.23,   -5.55,   -3.41,   -2.45,   -3.50,   -3.93,   -7.49,   -4.06,   -1.34,   -2.61,   -1.78,   -3.27,   -3.80,   -4.43,   -2.87,   -7.57,   -7.41
195801,   15.08,    3.16,    5.59,    8.64,    2.78,    4.22,    4.70,    7.09,    9.25,    2.61,    3.29,    3.63,    6.74,    5.73,    3.33,    6.73,    7.84,    7.82,   10.70
195802,   -3.63,   -1.74,   -0.46,   -0.32,   -2.06,   -0.91,   -0.51,   -1.51,   -0.76,   -2.74,    0.07,   -1.36,    0.98,    0.06,   -1.29,   -2.36,    0.26,    0.72,   -2.23
195803,   -0.21,    3.10,    3.70,    4.82,    2.89,    3.16,    3.89,    4.95,    4.98,    2.60,    3.74,    3.36,    2.36,    2.55,    5.72,    5.12,    4.61,    5.49,    4.47
195804,    8.28,    2.58,    4.26,    2.72,    1.02,    4.28,    4.96,    3.02,    2.44,    0.68,    2.04,    4.43,    3.65,    5.46,    4.31,    2.99,    3.09,    3.53,    1.31
195805,    7.70,    1.81,    2.80,    2.66,    1.99,    2.01,    2.65,    1.83,    3.50,    1.46,    3.56,    1.61,    3.70,    3.38,    1.67,    1.96,    1.57,    4.51,    2.44
195806,    3.35,    2.86,    3.03,    2.76,    3.06,    2.43,    3.58,    3.26,    2.50,    3.41,    2.02,    2.62,    1.64,    2.82,    4.61,    3.34,    3.10,    2.13,    2.90
195807,    7.27,    4.22,    3.67,    8.00,    5.65,    2.27,    3.32,    6.41,    7.78,    5.70,    5.53,    2.00,    3.25,    3.62,    2.47,    5.49,    8.43,    8.08,    7.07
195808,    8.61,    1.73,    1.62,    3.40,    1.65,    1.91,    1.18,    3.03,    3.42,    2.13,    0.50,    1.86,    2.08,    0.57,    2.88,    2.89,    3.35,    3.92,    2.27
195809,   15.48,    4.21,    5.67,    7.27,    4.07,    4.25,    6.90,    4.76,    6.71,    3.65,    5.09,    4.43,    3.59,    7.24,    5.94,    3.06,    8.38,    5.89,    8.63
195810,   17.83,    2.24,    2.82,    4.56,    2.72,    1.60,    2.96,    2.83,    5.60,    2.85,    2.43,    1.45,    2.13,    2.56,    4.07,    2.98,    2.51,    7.50,    1.24
195811,    2.17,    3.09,    2.90,    3.47,    3.67,    3.15,    2.43,    2.79,    1.99,    3.67,    3.67,    2.15,    6.70,    2.76,    1.52,    0.99,    6.47,    1.34,    3.55
195812,   11.64,    6.70,    3.97,    5.78,    7.30,    5.78,    3.58,    4.22,    5.73,    8.11,    5.33,    5.69,    6.07,    2.81,    5.70,    3.37,    5.87,    6.66,    3.55
195901,   -0.56,   -0.04,    1.33,    2.18,   -0.70,    1.51,    0.44,    2.63,    2.43,   -1.13,    0.36,    1.07,    2.99,   -0.20,    2.15,    3.11,    1.71,    0.97,    5.99
195902,   -5.87,    2.40,   -1.34,    2.13,    3.79,    0.82,   -3.15,    1.35,    2.06,    4.31,    2.49,    0.11,    3.16,   -3.64,   -1.83,    0.88,    2.26,    0.68,    5.29
195903,    3.27,    1.17,    0.11,   -0.09,    1.35,    0.53,    0.55,   -0.80,    0.23,    1.84,    0.13,    0.86,   -0.54,    0.02,    1.93,   -0.84,   -0.72,   -1.96,    5.12
195904,    6.22,    4.58,    3.74,    4.42,    5.62,    2.44,    4.87,    2.97,    4.26,    6.30,    3.89,    2.77,    1.38,    6.15,    1.65,    2.03,    4.74,    3.40,    6.07
195905,    2.40,    2.43,    1.75,    3.62,    4.07,    0.27,    1.66,    1.57,    4.10,    4.14,    3.87,   -0.48,    2.76,    1.92,    0.99,    0.97,    2.67,    3.55,    5.22
195906,    6.12,   -0.67,   -0.02,    2.54,   -0.55,   -0.59,   -0.37,    1.83,    2.00,   -1.08,    0.85,   -0.90,    0.44,   -0.77,    0.70,    0.85,    3.60,    2.09,    1.81
195907,   -0.31,    4.38,    2.27,    3.77,    4.64,    2.26,    2.46,    3.37,    3.89,    3.83,    5.57,    3.22,    1.10,    2.19,    3.35,    3.13,    3.66,    2.81,    5.17
195908,   -0.34,   -1.87,    0.00,   -1.66,   -1.89,   -1.00,    0.29,   -1.69,   -0.98,   -2.46,   -1.26,   -1.78,   -0.03,    0.30,    0.23,   -1.17,   -2.31,   -0.42,   -1.63
195909,   -7.94,   -4.95,   -4.03,   -2.65,   -4.71,   -5.14,   -3.68,   -3.71,   -3.68,   -4.40,   -5.07,   -6.02,   -4.08,   -3.47,   -4.38,   -5.45,   -1.64,   -4.60,   -2.61
195910,   -0.15,    1.23,    1.54,    2.76,    0.89,    2.12,    1.90,    1.03,    3.70,    2.13,   -0.48,    2.78,    1.33,    1.61,    2.86,    0.31,    1.86,    3.63,    3.77
195911,    1.11,    3.43,    0.46,    0.95,    3.45,    2.89,    0.02,   -1.15,    4.07,    6.28,    0.20,    3.33,    2.36,   -0.21,    0.80,   -0.30,   -2.12,    4.62,    3.45
195912,    3.37,    3.46,    2.58,    1.42,    3.49,    2.75,    2.66,    2.83,    0.16,    3.31,    3.72,    3.29,    2.10,    2.98,    1.57,    2.90,    2.74,   -0.58,    1.00
196001,   -8.23,   -8.88,   -4.96,   -5.68,   -9.20,   -7.08,   -4.32,   -5.65,   -5.21,   -9.71,   -8.58,   -7.37,   -6.72,   -4.19,   -4.76,   -5.22,   -6.15,   -4.92,   -5.53
196002,   -3.42,    1.12,    3.19,   -0.20,    1.25,    1.36,    4.00,   -0.43,    1.34,    2.96,   -0.81,    0.51,    2.41,    4.59,    1.98,    0.73,   -1.78,    1.84,    0.78
196003,   -5.62,   -1.16,   -0.95,   -1.12,   -0.80,   -1.72,   -1.18,    0.10,   -3.16,   -0.02,   -1.79,   -2.80,   -0.41,   -1.40,   -0.40,   -0.68,    1.03,   -1.68,   -4.86
196004,   -6.33,   -1.79,   -1.07,   -1.18,   -2.09,   -0.76,   -1.37,   -0.72,   -0.24,   -1.61,   -2.71,   -0.39,   -1.19,   -1.51,   -0.90,    0.49,   -2.14,    0.90,   -1.59
196005,   -1.26,    4.66,    2.66,    1.03,    4.67,    5.24,    2.18,   -0.12,    2.41,    6.78,    1.96,    4.61,    5.99,    2.36,    1.56,    0.12,   -0.39,    3.06,    1.62
196006,    2.31,    1.53,    3.12,    3.66,    1.27,    3.54,    2.48,    4.11,    3.02,    1.51,    0.95,    2.69,    4.53,    2.18,    3.53,    3.92,    4.34,    4.90,    0.70
196007,   -3.54,   -4.27,   -0.25,   -0.53,   -4.52,   -1.86,    0.24,    0.10,   -0.51,   -5.49,   -3.35,   -2.93,   -1.25,    0.69,   -1.27,    0.39,   -0.56,   -1.00,    0.05
196008,    3.91,    2.18,    4.09,    4.02,    1.95,    2.99,    5.33,    3.72,    3.35,    1.35,    2.66,    3.34,    2.79,    5.63,    4.28,    3.11,    5.06,    3.57,    3.11
196009,   -5.69,   -7.54,   -4.08,   -4.20,   -7.96,   -4.03,   -5.09,   -3.06,   -4.54,   -7.85,   -8.09,   -5.43,   -3.25,   -5.11,   -5.02,   -2.77,   -3.68,   -3.77,   -5.42
196010,   -0.87,   -1.43,    0.54,    0.03,   -1.66,   -1.09,    1.84,    0.75,   -0.17,   -2.48,   -0.71,   -0.29,   -1.53,    2.31,    0.21,    0.93,    0.33,    1.00,   -1.53
196011,   -6.39,    5.66,    4.04,    4.56,    5.26,    3.96,    4.46,    5.79,    5.31,    5.33,    5.19,    7.57,    1.95,    4.58,    4.05,    6.85,    3.43,    5.91,    4.61
196012,    2.51,    4.04,    6.00,    3.94,    3.94,    3.52,    7.96,    5.41,    4.04,    3.84,    4.05,    4.52,    2.93,    8.76,    5.07,    6.12,    3.78,    5.88,    1.85
196101,    4.43,    4.45,    7.21,    9.43,    4.26,    7.66,    6.58,    7.14,    8.87,    4.15,    4.39,    5.33,    9.04,    6.90,    5.36,    5.79,   10.31,    8.31,    9.55
196102,   12.20,    3.76,    2.88,    4.21,    3.18,    3.73,    2.25,    5.38,    4.42,    2.20,    4.30,    6.48,    2.15,    1.87,    3.70,    6.03,    3.91,    2.54,    6.73
196103,    5.03,    1.90,    3.79,    3.36,    1.81,    2.59,    4.47,    3.27,    4.12,    1.71,    1.93,    2.30,    2.76,    4.97,    2.61,    3.73,    2.19,    3.78,    4.53
196104,   -2.18,   -0.28,    1.02,    2.50,   -0.35,    0.16,    1.11,    2.49,    2.07,   -0.68,    0.02,    0.07,    0.22,    1.77,   -1.40,    2.20,    3.17,    2.80,    1.20
196105,    0.97,    3.61,    1.14,    4.42,    3.24,    2.40,    1.40,    1.81,    5.12,    2.43,    4.15,    5.25,    0.69,    1.05,    2.77,    1.15,    3.33,    4.72,    5.61
196106,    1.34,   -2.30,   -2.93,   -2.94,   -2.17,   -3.05,   -3.31,   -2.00,   -2.80,   -2.01,   -2.34,   -2.88,   -3.16,   -3.41,   -2.93,   -1.48,   -3.17,   -2.76,   -2.85
196107,    4.37,    2.73,    3.69,    3.43,    1.51,    4.83,    3.21,    3.70,    3.35,    0.83,    2.17,    5.11,    4.17,    3.82,    2.48,    3.86,    3.49,    3.15,    3.74
196108,   -4.42,    2.79,    2.96,    1.06,    3.69,    1.80,    2.94,    2.00,    0.96,    4.49,    2.93,    1.12,    3.41,    2.51,    3.46,    2.66,    1.14,   -0.14,    3.07
196109,   -8.89,   -1.30,   -2.75,   -0.71,   -1.21,   -1.79,   -1.15,   -1.94,   -3.42,   -0.60,   -1.81,   -1.46,   -2.57,   -2.71,    0.70,   -4.52,    1.44,   -4.75,   -0.96
196110,    1.06,    2.25,    3.68,    2.94,    2.35,    2.21,    4.79,    2.51,    4.81,    2.03,    2.65,    2.05,    2.59,    4.69,    4.91,    3.30,    1.52,    6.85,    1.18
196111,    1.94,    4.24,    4.36,    6.83,    3.00,    5.75,    4.10,    6.59,    4.84,    2.12,    3.86,    6.65,    3.64,    3.78,    4.48,    5.16,    8.38,    4.05,    6.33
196112,    4.04,   -0.28,   -0.45,    3.09,   -0.84,    0.00,   -2.01,    3.05,    1.85,   -1.24,   -0.46,    0.77,   -1.84,   -2.04,   -1.99,    2.24,    4.03,    2.58,    0.51
196201,   10.06,   -5.80,   -2.38,   -0.08,   -6.27,   -4.41,   -3.16,   -0.59,   -0.16,   -5.08,   -7.39,   -4.94,   -3.10,   -3.21,   -3.10,   -1.07,   -0.02,    0.61,   -1.61
